date,special,prize1,prize2_1,prize2_2,prize3_1,prize3_2,prize3_3,prize3_4,prize3_5,prize3_6,prize4_1,prize4_2,prize4_3,prize4_4,prize5_1,prize5_2,prize5_3,prize5_4,prize5_5,prize5_6,prize6_1,prize6_2,prize6_3,prize7_1,prize7_2,prize7_3,prize7_4
2020-11-13,88287,11204,38454,25196,83564,86373,35845,24596,82047,19502,9731,5401,4185,3985,3714,7901,359,3379,6589,342,30,188,616,49,22,38,30
2020-11-14,28106,60882,48546,52051,67840,41822,11315,80448,74422,67267,212,4584,9183,1596,4112,8264,5170,6364,1471,4309,677,145,137,76,13,81,4
2020-11-15,76818,88295,83723,82962,55187,63440,62970,5142,61554,70053,9694,9886,9702,593,7440,9312,4436,5722,7983,8830,557,908,926,91,19,49,68
2020-11-16,41130,71594,3687,4444,44920,30079,66288,65228,32423,62035,1721,8955,4559,4425,8224,4910,399,3196,2,6546,154,586,560,40,43,27,61
2020-11-17,82093,69778,59629,7118,7399,61532,84085,22426,98910,7225,5246,4369,5154,7026,6122,4435,275,2426,6964,9486,462,877,629,50,5,86,27
2020-11-18,88630,85630,22088,68543,99302,31368,18505,92358,816,1468,9660,5805,7820,7049,6938,7796,1071,1267,6441,8191,99,906,878,56,12,90,64
2020-11-19,17017,78604,97067,81162,75437,12434,96805,76307,13498,34963,1088,920,9416,2876,9805,9796,7464,2973,4191,535,758,95,341,58,86,92,97
2020-11-20,92780,23593,46273,78703,990,8148,11931,7624,13632,94855,3918,1575,6332,687,5797,2412,6453,896,6856,57,412,586,836,6,13,81,10
2020-11-21,20561,85947,48885,66191,5748,78219,93584,59497,8733,52507,9079,1245,4453,9948,2587,7639,6917,4968,1482,3587,841,334,567,90,17,62,80
2020-11-22,61596,76599,79007,78171,23257,20356,9586,73567,31976,11081,4418,2583,7423,1665,4149,4252,7807,1242,6628,5355,322,800,970,67,22,91,6
2020-11-23,843,22152,99947,89793,65077,18761,1745,90823,39578,90974,6277,6936,200,8476,327,9501,7819,3609,4558,9898,578,706,548,40,25,73,91
2020-11-24,52664,19501,56805,96006,93783,4665,68402,87335,45196,46074,3141,2871,9455,441,6218,6906,4245,1003,3351,7938,706,192,220,60,28,45,90
2020-11-25,72036,58061,18654,40402,92492,71757,69484,78348,58292,10085,3405,5108,1772,8432,6668,4825,4190,9137,9835,1679,169,42,75,39,0,97,81
2020-11-26,23071,41054,69286,72458,54715,16612,9642,81763,96256,2308,5875,2896,3488,8846,9545,3692,288,4083,6670,2462,114,92,760,56,66,44,8
2020-11-27,23126,31552,98728,16205,58033,73402,98742,17486,65718,16869,4953,1095,185,413,966,669,6803,5369,9081,5719,20,67,108,49,73,98,56
2020-11-28,10764,86559,69864,81977,11944,83033,36855,64616,75784,35909,8423,2647,730,5208,5496,5008,5342,5670,1306,3257,67,190,696,11,25,92,99
2020-11-29,83669,46822,59811,96755,12854,77054,65439,59988,22305,41126,9285,8709,4697,5849,8056,1949,1582,4696,1372,5356,530,252,518,17,5,24,46
2020-11-30,5104,26356,66484,45998,91627,93385,82989,59174,58508,9681,148,3201,1119,4823,7264,945,7046,6015,5299,9252,649,984,813,31,87,25,41
2020-12-01,74507,71909,13971,76350,6649,3750,35311,91812,15543,68736,3827,2258,6699,5632,3958,2665,2980,8984,5613,7336,393,619,868,49,62,8,0
